state,plant_name,city,legacy_impoundment_flag,compliance_website,region,coal_rank,coal_type_raw,liner_status,impoundment_status,county_population,county_median_income,county_poverty_rate_pct,coal_burned_tons_2024,n_ponds_assessed,coal_rank_source,coal_rank_note,liner_status_source
Arizona,Springerville Generating Station,Springerville,Not indicated,https://www.tep.com/ccr/,West,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Arkansas,Flint Creek,Gentry,Not indicated,https://www.aep.com/environment/ccr/flintcreek/,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Arkansas,Independence,Newark,Not indicated,https://www.entergy-arkansas.com/ccr/indy/,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Arkansas,John W Turk Jr Power Plant,Fulton,Not indicated,https://www.aep.com/environment/ccr/turk/,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Arkansas,Plum Point Energy Station,Osceola,Not indicated,https://www.nrg.com/legal/coal-combustion-residuals.html,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Arkansas,White Bluff,Redfield,Not indicated,https://www.entergy-arkansas.com/ccr/WB/,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Colorado,Arapahoe,Denver,Not indicated,https://corporate.my.xcelenergy.com/s/energy/sources/coal/coal-ash-management,West,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Colorado,Cherokee,Denver,Not indicated,https://corporate.my.xcelenergy.com/s/energy/sources/coal/coal-ash-management,West,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Colorado,Clear Springs Ranch Landfill,Fountain,Not indicated,https://www.csu.org/regulatory-notices/coal-combustion-residuals-ccr,West,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Colorado,Comanche,Pueblo,Not indicated,https://corporate.my.xcelenergy.com/s/energy/sources/coal/coal-ash-management,West,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Colorado,Hayden,Hayden,Not indicated,https://corporate.my.xcelenergy.com/s/energy/sources/coal/coal-ash-management,West,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Colorado,Nucla Station,Nucla,Not indicated,https://tristate.coop/environment,West,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Colorado,Pawnee,Brush,Not indicated,https://corporate.my.xcelenergy.com/s/energy/sources/coal/coal-ash-management,West,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Colorado,Rawhide,Wellington,Not indicated,https://www.prpa.org/environmental-principles/environmental-management/ccr-rule-compliance-data-and-information/,West,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Colorado,Valmont,Boulder,Not indicated,https://corporate.my.xcelenergy.com/s/energy/sources/coal/coal-ash-management,West,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Delaware,Indian River Generating Station,Dagsboro,Not indicated,https://www.nrg.com/legal/coal-combustion-residuals.html,South,,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Florida,Plant Scholz Generating Plant,Sneads,Yes (1),https://www.fpl.com/northwest/about/our-company/ccr-rule.html,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Florida,Big Bend,Apollo Beach,No,https://www.tampaelectric.com/communityresponsibility/environment/ccr-compliance/,South,Subbituminous,,,,,,,,8.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Florida,C D McIntosh Jr,Lakeland,No,https://lakelandelectric.com/CCRRuleComplianceData,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Florida,Crystal River,Crystal River,No,https://www.duke-energy.com/our-company/environment/compliance-and-reporting/ccr-rule-compliance-data,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Florida,Deerhaven Generating Station,Gainesville,No,https://www.gru.com/MyHome/Content/DeerhavenGeneratingStation/CCRComplianceDocumentation.aspx,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Florida,Gulf Clean Energy Center,Pensacola,No,https://www.fpl.com/northwest/about/our-company/ccr-rule.html,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Florida,Plant Smith,Southport,No,https://www.fpl.com/northwest/about/our-company/ccr-rule.html,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Florida,Seminole,Palatka,No,https://www.seminole-electric.com/facilities/ccr/,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Florida,Stanton Energy Center,Orlando,No,https://oucccr.com/,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Florida,St Johns River Power Park,Jacksonville,No,https://www.jea.com/Environment/Compliance_and_Reporting/CCR_Rule_Compliance_Data_and_Information/,South,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Georgia,Plant Arkwright,Macon,Yes (2),https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-arkwright.html,South,Subbituminous,Not currently coal-fired,N/A (no impoundment),,156578.0,51234.0,24.7,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",matched
Georgia,Plant Branch,Milledgeville,Yes (5),https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-branch.html,South,Subbituminous,Not currently coal-fired,No (unlined),Operating - in service,22855.0,72096.0,17.6,,5.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",matched
Georgia,Plant Kraft,Port Wentworth,Yes (1),https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-kraft.html,South,Subbituminous,Not currently coal-fired,No (unlined),Operating - in service,300879.0,71097.0,14.3,,1.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",matched
Georgia,Plant Mitchell,Albany,Yes (2),https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-mitchell.html,South,Subbituminous,Not currently coal-fired,No (unlined),Operating - in service,83091.0,49044.0,25.0,,3.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",matched
Georgia,Bowen,Cartersville,No,https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-bowen.html,South,Subbituminous,"Bituminous,Subbituminous",No (unlined),Operating - in service,113113.0,82243.0,10.3,4472161.0,1.0,EIA-860 (matched),Matched to census_data_towns_and_power_plants_1.xlsx (EIA-860 2024).,matched
Georgia,Crisp Plant,Warwick,No,https://crispcountypower.com/ccr-rule,South,Bituminous,Bituminous,N/A (no impoundment),,20451.0,58694.0,24.0,0.0,,EIA-860 (matched),Matched to census_data_towns_and_power_plants_1.xlsx (EIA-860 2024).,matched
Georgia,Hammond,Rome,No,https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-hammond.html,South,Subbituminous,Not currently coal-fired,No (unlined),Operating - in service,99693.0,65565.0,16.0,,4.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",matched
Georgia,Jack McDonough,Smyrna,No,https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-mcdonough.html,South,Subbituminous,Not currently coal-fired,N/A (no impoundment),,775208.0,102738.0,8.7,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",matched
Georgia,McIntosh,Rincon,No,https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-mcintosh.html,South,Subbituminous,Not currently coal-fired,No (unlined),Operating - in service,69143.0,88438.0,6.8,,1.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",matched
Georgia,Plant McManus,Brunswick,No,https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-mcmanus.html,South,Subbituminous,Not currently coal-fired,N/A (no impoundment),,85447.0,69799.0,16.1,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",matched
Georgia,Scherer,Juliette,No,https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-scherer.html,South,Subbituminous,Subbituminous,No (unlined),Operating - in service,29664.0,83183.0,12.3,4795183.0,2.0,EIA-860 (matched),Matched to census_data_towns_and_power_plants_1.xlsx (EIA-860 2024).,matched
Georgia,Wansley,Carrollton,No,https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-wansley.html,South,Subbituminous,Not currently coal-fired,No (unlined),Operating - in service,11773.0,65868.0,17.9,,1.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",matched
Georgia,Yates,Newnan,No,https://www.georgiapower.com/our-impact/environment/environmental-compliance/plant-list/plant-yates.html,South,Subbituminous,Not currently coal-fired,No (unlined),Operating - in service,152852.0,95548.0,7.4,,8.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",matched
Illinois,Baldwin Energy Complex,Baldwin,No,https://www.luminant.com/ccr/illinois/,Midwest,Bituminous,,,,,,,,5.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Hutsonville Power Station,Hutsonville,Potential (2),https://www.ameren.com/company/environment-and-sustainability/managing-coal-combustion/inactive-basins/hutsonville,Midwest,Bituminous,,,,,,,,4.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Meredosia Power Station,Meredosia,Yes (2),https://www.ameren.com/company/environment-and-sustainability/managing-coal-combustion/inactive-basins/meredosia,Midwest,Bituminous,,,,,,,,2.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Coffeen,Coffeen,No,https://www.luminant.com/ccr/illinois/,Midwest,Bituminous,,,,,,,,2.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Dallman,Springfield,No,https://www.cwlp.com/CCRCompliance.aspx,Midwest,Bituminous,,,,,,,,1.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Duck Creek,Canton,No,https://www.luminant.com/ccr/illinois/,Midwest,Bituminous,,,,,,,,3.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,E D Edwards,Bartonville,No,https://www.luminant.com/ccr/illinois/,Midwest,Bituminous,,,,,,,,3.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Havana,Havana,No,https://www.ccrsites.com/havana,Midwest,Bituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Hennepin Power Station,Hennepin,No,https://www.luminant.com/ccr/illinois/,Midwest,Bituminous,,,,,,,,7.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Joliet 29,Joliet,No,https://www.nrg.com/legal/coal-combustion-residuals.html,Midwest,Bituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Joppa Steam,Joppa,No,https://www.luminant.com/ccr/illinois/,Midwest,Bituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Kincaid Generation LLC,Kincaid,No,https://www.luminant.com/ccr/illinois/,Midwest,Bituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Lincoln Stone Quarry,Joliet,No,https://www.nrg.com/legal/coal-combustion-residuals.html,Midwest,Bituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Marion,Marion,No,https://www.sipower.org/services/environmental-fuels/,Midwest,Bituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Newton,Newton,No,https://www.luminant.com/ccr/illinois/,Midwest,Bituminous,,,,,,,,2.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Illinois,Powerton,Pekin,No,https://www.nrg.com/legal/coal-combustion-residuals.html,Midwest,Bituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
